year,competition_id,url,http_status,competition_name,start_date,end_date,location,fetched_at_utc,probe_error
2025,30911,https://ijs.usfigureskating.org/leaderboard/results/2025/30911/index.asp,200,2025 Eastern Adult Sectional FS Championships,03/14/2025,03/16/2025,"Extreme Ice Center, Indian Trail, NC",2026-05-11T16:21:00+00:00,
2025,30914,https://ijs.usfigureskating.org/leaderboard/results/2025/30914/index.asp,200,2025 Midwestern Adult Sectional FS Championships,03/21/2025,03/23/2025,"Madison, WI",2026-05-11T16:21:01+00:00,
2025,30917,https://ijs.usfigureskating.org/leaderboard/results/2025/30917/index.asp,200,2025 Pacific Coast Adult Sectional FS Championship,03/13/2025,03/16/2025,"Paramount, CA",2026-05-11T16:21:01+00:00,
2025,30920,https://ijs.usfigureskating.org/leaderboard/results/2025/30920/index.asp,200,2025 U.S. Adult Figure Skating Championships,03/31/2025,04/05/2025,"St Louis Park, MN",2026-05-11T16:21:02+00:00,
2025,34237,https://ijs.usfigureskating.org/leaderboard/results/2025/34237/index.asp,200,2025 U.S. Synchronized Skating Championships,02/25/2025,03/01/2025,"Colorado Springs, CO",2026-05-11T16:32:02+00:00,
2025,34239,https://ijs.usfigureskating.org/leaderboard/results/2025/34239/index.asp,200,2025 Eastern Synchronized Skating Sectional Champi,01/22/2025,01/25/2025,"Hershey, PA",2026-05-11T16:32:03+00:00,
2025,34240,https://ijs.usfigureskating.org/leaderboard/results/2025/34240/index.asp,200,2025 Midwestern Synchronized Skating Sectional Cha,01/29/2025,02/01/2025,"Kalamazoo, MI",2026-05-11T16:32:03+00:00,
2025,34241,https://ijs.usfigureskating.org/leaderboard/results/2025/34241/index.asp,200,2025 Pacific Coast Synchronized Skating Sectional,01/30/2025,02/01/2025,"Irvine, CA",2026-05-11T16:32:03+00:00,
2025,34252,https://ijs.usfigureskating.org/leaderboard/results/2025/34252/index.asp,200,2026 Eastern Sectional Singles Final,11/10/2025,11/16/2025,"North Charleston, SC",2026-05-11T16:32:06+00:00,
2025,34253,https://ijs.usfigureskating.org/leaderboard/results/2025/34253/index.asp,200,2026 Midwestern Sectional Singles - U.S. Pairs Fin,11/16/2025,11/21/2025,"East Lansing, MI",2026-05-11T16:32:06+00:00,
2025,34254,https://ijs.usfigureskating.org/leaderboard/results/2025/34254/index.asp,200,2026 Pacific Coast Sectional Singles - U.S. Ice Da,11/02/2025,11/06/2025,"Henderson, NV",2026-05-11T16:32:06+00:00,
2025,34272,https://ijs.usfigureskating.org/leaderboard/results/2025/34272/index.asp,200,2025 U.S. Collegiate Championships - Invitational,07/18/2025,07/20/2025,"Flossmoor, IL",2026-05-11T16:32:10+00:00,
2025,34424,https://ijs.usfigureskating.org/leaderboard/results/2025/34424/index.asp,200,Fort Collins Classic 2025,04/03/2025,04/06/2025,"Fort Collins, CO",2026-05-11T16:32:42+00:00,
2025,35103,https://ijs.usfigureskating.org/leaderboard/results/2025/35103/index.asp,200,NQS - 2025 Greater Chicagoland Fall Invitational,09/04/2025,09/07/2025,"Evanston, IL",2026-05-11T16:34:57+00:00,
2025,35490,https://ijs.usfigureskating.org/leaderboard/results/2025/35490/index.asp,200,2025 Synchro Illinois,01/17/2025,01/19/2025,"Evanston, IL",2026-05-11T16:36:14+00:00,
2025,35537,https://ijs.usfigureskating.org/leaderboard/results/2025/35537/index.asp,200,3rd Annual Paradise Coast Classic,06/05/2025,06/08/2025,"Estero, FL",2026-05-11T16:36:24+00:00,
2025,35539,https://ijs.usfigureskating.org/leaderboard/results/2025/35539/index.asp,200,2025 Prevagen U.S. Figure Skating Championships,01/19/2025,01/26/2025,"Wichita, KS",2026-05-11T16:36:24+00:00,
2025,35551,https://ijs.usfigureskating.org/leaderboard/results/2025/35551/index.asp,200,2025 Colonial Classic Synchronized Skating Competi,01/03/2025,01/05/2025,"Lowell, MA",2026-05-11T16:36:27+00:00,
2025,35558,https://ijs.usfigureskating.org/leaderboard/results/2025/35558/index.asp,200,2025 Ohio High School Team Championships,02/07/2025,02/09/2025,"Shaker Heights, Ohio",2026-05-11T16:36:28+00:00,
2025,35560,https://ijs.usfigureskating.org/leaderboard/results/2025/35560/index.asp,200,Utah Skatefest 2025,06/04/2025,06/07/2025,"West Valley City, UT",2026-05-11T16:36:29+00:00,
2025,35569,https://ijs.usfigureskating.org/leaderboard/results/2025/35569/index.asp,200,2025 Connecticut Synchronized Skating Classic,02/09/2025,02/09/2025,"Hamden, CT",2026-05-11T16:36:31+00:00,
2025,35601,https://ijs.usfigureskating.org/leaderboard/results/2025/35601/index.asp,200,Swan Synchro Skate 2025,02/15/2025,02/15/2025,"Beaver Dam, WI",2026-05-11T16:36:37+00:00,
2025,35604,https://ijs.usfigureskating.org/leaderboard/results/2025/35604/index.asp,200,Massena Figure Skating Inviational Competition 202,03/08/2025,03/08/2025,"Massena, NY",2026-05-11T16:36:38+00:00,
2025,35609,https://ijs.usfigureskating.org/leaderboard/results/2025/35609/index.asp,200,2025 Omaha Winter Festival,02/20/2025,02/23/2025,"Omaha, NE",2026-05-11T16:36:39+00:00,
2025,35612,https://ijs.usfigureskating.org/leaderboard/results/2025/35612/index.asp,200,2025 Tri-State Synchronized Skating Competition,02/14/2025,02/15/2025,"Mentor, OH",2026-05-11T16:36:40+00:00,
2025,35623,https://ijs.usfigureskating.org/leaderboard/results/2025/35623/index.asp,200,2025 Black Hills Gold Rush,02/14/2025,02/15/2025,"Rapid City, SD",2026-05-11T16:36:42+00:00,
