year,competition_id,url,http_status,competition_name,start_date,end_date,location,fetched_at_utc,probe_error,officials_analysis_competition_type_id,season_year
2024,34389,https://ijs.usfigureskating.org/leaderboard/results/2024/34389/index.asp,200,2024 EDGE OF SOUND,8/3/24,8/3/24,"Bremerton Ice Center, Bremerton Ice Center, Bremerton, WA",2026-05-18T22:26:45+00:00,,11,2425
2024,33467,https://ijs.usfigureskating.org/leaderboard/results/2024/33467/index.asp,200,2024 Madison Open,9/27/24,9/29/24,"Madison Ice Arena, Madison, WI",2026-05-18T22:24:19+00:00,,11,2425
2024,35555,https://ijs.usfigureskating.org/leaderboard/results/2024/35555/index.asp,200,2024 Texas Trophy,10/3/24,10/4/24,"Children?s Health StartCenter, Plano, TX",2026-05-18T22:29:05+00:00,,11,2425
2024,33881,https://ijs.usfigureskating.org/leaderboard/results/2024/33881/index.asp,200,2024 New Years Invitational,1/15/24,1/15/24,"Olympic Rink, NHL Rink, Reston, VA",2026-05-18T22:25:02+00:00,,11,2324
2024,33911,https://ijs.usfigureskating.org/leaderboard/results/2024/33911/index.asp,200,44th Annual Northland Figure Skating Competition,1/18/24,1/21/24,"DECC, AMSOIL, Duluth, MN",2026-05-18T22:25:14+00:00,,11,2324
2024,34074,https://ijs.usfigureskating.org/leaderboard/results/2024/34074/index.asp,200,Celebrate Skating 2024,1/20/24,1/20/24,"C.E. Orr Arena, Euclid, OH",2026-05-18T22:26:00+00:00,,11,2324
2024,34036,https://ijs.usfigureskating.org/leaderboard/results/2024/34036/index.asp,200,2024 Empire State Winter Games - Singles,2/1/24,2/4/24,"Lake Placid Olympic Center, Lake Placid, NY",2026-05-18T22:25:53+00:00,,11,2324
2024,33842,https://ijs.usfigureskating.org/leaderboard/results/2024/33842/index.asp,200,2024 Ohio High School Team Championship,2/2/24,2/4/24,"Thornton Park Ice Arena, Shaker SSC",2026-05-18T22:24:57+00:00,,11,2324
2024,33904,https://ijs.usfigureskating.org/leaderboard/results/2024/33904/index.asp,200,2024 Magic City International,2/2/24,2/4/24,"Pepsi Rink, Eck Rink, Minot, ND",2026-05-18T22:25:13+00:00,,11,2324
2024,34071,https://ijs.usfigureskating.org/leaderboard/results/2024/34071/index.asp,200,2024 Winter Festival,2/2/24,2/4/24,"Fort Myers Skatium, Fort Myers, FL",2026-05-18T22:25:59+00:00,,11,2324
2024,33732,https://ijs.usfigureskating.org/leaderboard/results/2024/33732/index.asp,200,2024 Red River Valley International Classic,2/9/24,2/10/24,"Moorhead Sports Center, Moorhead, MN",2026-05-18T22:24:45+00:00,,11,2324
2024,34185,https://ijs.usfigureskating.org/leaderboard/results/2024/34185/index.asp,200,2024 San Diego Sweetheart Classic,2/10/24,2/11/24,"The Rinks Poway ICE, Poway",2026-05-18T22:26:19+00:00,,11,2324
2024,34127,https://ijs.usfigureskating.org/leaderboard/results/2024/34127/index.asp,200,Love Bug Open 2024,2/11/24,2/11/24,"Arena, Community, Allen, TX",2026-05-18T22:26:11+00:00,,11,2324
2024,33800,https://ijs.usfigureskating.org/leaderboard/results/2024/33800/index.asp,200,2024 Albert Viviani Memorial And Deborah Burgoyne,2/16/24,2/18/24,"Yack Arena, Wyandotte, MI",2026-05-18T22:24:53+00:00,,11,2324
2024,33901,https://ijs.usfigureskating.org/leaderboard/results/2024/33901/index.asp,200,2024 Intermountain Winter Classic,2/16/24,2/18/24,"Salt Lake County Ice Center, Murray, UT",2026-05-18T22:25:12+00:00,,11,2324
2024,34004,https://ijs.usfigureskating.org/leaderboard/results/2024/34004/index.asp,200,Alamo Skate 2024,2/16/24,2/18/24,"Ice Center at Northwoods, San Antonio, TX",2026-05-18T22:25:45+00:00,,11,2324
2024,34091,https://ijs.usfigureskating.org/leaderboard/results/2024/34091/index.asp,200,2024 Sun Valley Winter Games,2/16/24,2/17/24,"Sun Valley Skating Center, Sun Valley, ID",2026-05-18T22:26:04+00:00,,11,2324
2024,34062,https://ijs.usfigureskating.org/leaderboard/results/2024/34062/index.asp,200,2024 Stillwell Adult Mid-Winter Warmup,2/18/24,2/18/24,"East West Ice Palace, Artesia, CA",2026-05-18T22:25:58+00:00,,11,2324
2024,34096,https://ijs.usfigureskating.org/leaderboard/results/2024/34096/index.asp,200,2024 Rising Stars Competition,2/18/24,2/18/24,"Tri Valley Ice Dublin, Dublin, CA",2026-05-18T22:26:06+00:00,,11,2324
2024,33951,https://ijs.usfigureskating.org/leaderboard/results/2024/33951/index.asp,200,2024 Omaha Winter Festival,2/22/24,2/25/24,"Motto McLean Ice Arena, Omaha, NE",2026-05-18T22:25:29+00:00,,11,2324
2024,33887,https://ijs.usfigureskating.org/leaderboard/results/2024/33887/index.asp,200,37th Annual Pennsylvania Skating Championships,2/23/24,2/25/24,"York Ice Arena, York, PA",2026-05-18T22:25:05+00:00,,11,2324
2024,33953,https://ijs.usfigureskating.org/leaderboard/results/2024/33953/index.asp,200,2024 Columbus Invitational,3/1/24,3/3/24,"Hamilton Center Ice Arena, Columbus, IN",2026-05-18T22:25:30+00:00,,11,2425
2024,33992,https://ijs.usfigureskating.org/leaderboard/results/2024/33992/index.asp,200,2024 North Atlantic Open,3/2/24,3/3/24,"Family Ice Center, Falmouth, ME, Team Points",2026-05-18T22:25:41+00:00,,11,2425
2024,34047,https://ijs.usfigureskating.org/leaderboard/results/2024/34047/index.asp,200,2024 Skating for Skills,3/2/24,3/3/24,"The Pond Ice Rink & Sports Com, 2024 Skating for Skills",2026-05-18T22:25:56+00:00,,11,2425
2024,30916,https://ijs.usfigureskating.org/leaderboard/results/2024/30916/index.asp,200,2024 Pacific Coast Adult Sectional Figure Skating,3/7/24,3/10/24,"Snoopy's Home Ice, Santa Rosa, CA",2026-05-18T22:20:15+00:00,,13,2324
2024,34026,https://ijs.usfigureskating.org/leaderboard/results/2024/34026/index.asp,200,2024 Denver Invitational,3/7/24,3/10/24,"Rink 1, Rink 2, Highlands Ranch, CO",2026-05-18T22:25:52+00:00,,11,2425
2024,30913,https://ijs.usfigureskating.org/leaderboard/results/2024/30913/index.asp,200,2024 Midwestern Adult Sectional FS Championships,3/8/24,3/10/24,"Scheels IcePlex, Sioux Falls, SD",2026-05-18T22:20:14+00:00,,13,2324
2024,33876,https://ijs.usfigureskating.org/leaderboard/results/2024/33876/index.asp,200,35th Annual Eau Claire Figure Skating Competition,3/8/24,3/9/24,"Chippewa Falls Ice Arena, Chippewa Falls, WI",2026-05-18T22:25:02+00:00,,11,2425
2024,33914,https://ijs.usfigureskating.org/leaderboard/results/2024/33914/index.asp,200,2024 Magnolia Open,3/8/24,3/10/24,"Blue Rink, Red Rink, Alpharetta, GA",2026-05-18T22:25:15+00:00,,11,2425
2024,34001,https://ijs.usfigureskating.org/leaderboard/results/2024/34001/index.asp,200,2024 Houston Invitational,3/8/24,3/10/24,"Aerodrome Ice Skating Complex, Houston, TX",2026-05-18T22:25:44+00:00,,11,2425
2024,34115,https://ijs.usfigureskating.org/leaderboard/results/2024/34115/index.asp,200,2024 Denver Invitational (Team Events),3/9/24,3/9/24,"Rink 1, Rink 2, Highlands Ranch, CO",2026-05-18T22:26:08+00:00,,11,2425
2024,34132,https://ijs.usfigureskating.org/leaderboard/results/2024/34132/index.asp,200,2024 Oregon Open Figure Skating Championships,3/9/24,3/10/24,"Sherwood Ice Arena, Sherwood, OR",2026-05-18T22:26:12+00:00,,11,2425
2024,33877,https://ijs.usfigureskating.org/leaderboard/results/2024/33877/index.asp,200,2024 Eau Claire Synchronized Skating Competition,3/10/24,3/10/24,"Chippewa Falls Ice Arena, Chippewa Falls, WI",2026-05-18T22:25:02+00:00,,11,2425
2024,30910,https://ijs.usfigureskating.org/leaderboard/results/2024/30910/index.asp,200,2024 Eastern Adult Sectional FS Championship,3/13/24,3/16/24,"RMU Island Sports Center, Pittsburgh, PA",2026-05-18T22:20:13+00:00,,13,2324
2024,34216,https://ijs.usfigureskating.org/leaderboard/results/2024/34216/index.asp,200,2024 Michigan Showcase,3/14/24,3/17/24,"Stadium Rink, Hartland Ice House, Hartland, MI",2026-05-18T22:26:22+00:00,,11,2425
2024,33909,https://ijs.usfigureskating.org/leaderboard/results/2024/33909/index.asp,200,2024 Howard Van Camp Invitational,3/15/24,3/17/24,"East Lansing Ice Cube, East Lansing, MI",2026-05-18T22:25:14+00:00,,11,2425
2024,33931,https://ijs.usfigureskating.org/leaderboard/results/2024/33931/index.asp,200,2024 Wichita Mid-Continent Classic,3/15/24,3/17/24,"Wichita Ice Center, Wichita, KS",2026-05-18T22:25:21+00:00,,11,2425
